Ball,Times drawn,Last time drawn
0,1201,10/28/2020
1,1263,10/23/2020
2,1271,10/29/2020
3,1268,10/28/2020
4,1257,10/29/2020
5,1271,10/28/2020
6,1237,10/29/2020
7,1302,10/29/2020
8,1258,10/29/2020
9,1254,10/28/2020
