Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Mega Millions,7-ELEVEN #26574A,13190 E MISSISSIPPI,AURORA,80012,1,"$40,000"
Mega Millions,7-ELEVEN #26692A,5805 PALMER PARK BLVD,COLORADO SPRINGS,80915,3,"$16,000"
Mega Millions,7-ELEVEN #26693B,3740 RANDALL DR,COLORADO SPRINGS,80920,1,"$2,000"
Mega Millions,7-ELEVEN #27022A,650 E 64TH AVE,DENVER,80229,1,"$2,000"
Mega Millions,7-ELEVEN #27043B,820 SIMMS ST #8,GOLDEN,80401,2,"$1,001,500"
Mega Millions,7-ELEVEN #27067B,3990 E 35TH AVENUE,DENVER,80205,1,"$2,000"
Mega Millions,7-ELEVEN #27211A,15511 E 6TH AVE,AURORA,80011,1,"$1,500"
Mega Millions,7-ELEVEN #27620A,303 SANTA FE DR,DENVER,80223,1,"$1,500"
Mega Millions,7-ELEVEN #29024A,880 S BUCKLEY RD,AURORA,80017,3,"$13,500"
Mega Millions,7-ELEVEN #29108A,4701 PEORIA ST,DENVER,80239,7,"$36,000"
Mega Millions,7-ELEVEN #29203A,1000 FEDERAL,DENVER,80204,2,"$2,500"
Mega Millions,7-ELEVEN #29314A,10410 MELODY DR,NORTHGLENN,80234,1,"$1,000"
Mega Millions,7-ELEVEN #29420A,1301 W 38TH ST,DENVER,80211,1,"$1,500"
Mega Millions,7-ELEVEN #29508C,3131 S BROADWAY,ENGLEWOOD,80113,1,"$1,000"
Mega Millions,7-ELEVEN #32159C,623 W GARDEN OF GODS RD,COLORADO SPRINGS,80907,2,"$11,000"
Mega Millions,7-ELEVEN #32276B,6600 S COLLEGE,FORT COLLINS,80525,2,"$4,000"
Mega Millions,7-ELEVEN #32386A,4710 CENTENNIAL BLVD,COLORADO SPRINGS,80919,2,"$70,000"
Mega Millions,7-ELEVEN #32747C,6025 CONSTITUTION AVE,COLORADO SPRINGS,80915,1,"$1,000"
Mega Millions,7-ELEVEN #32809B,10128 WADSWORTH PKWY,BROOMFIELD,80021,3,"$4,500"
Mega Millions,7-ELEVEN #32810A,4500 PEORIA ST,DENVER,80239,2,"$2,000"
Mega Millions,7-ELEVEN #32923A,16981 E LINCOLN AVE,PARKER,80134,2,"$16,000"
Mega Millions,7-ELEVEN #33038C,18451 E ALAMEDA PKWY,AURORA,80017,2,"$4,500"
Mega Millions,7-ELEVEN #33042B,8750 S YOSEMITE ST,LONETREE,80124,3,"$4,500"
Mega Millions,7-ELEVEN #34035A,19832 E HILLTOP ROAD,PARKER,80134,1,"$10,000"
Mega Millions,7-ELEVEN #34036A,6990 CHURCH RANCH BLVD,WESTMINSTER,80021,1,"$10,000"
Mega Millions,7-ELEVEN #34057A,11802 E OSWEGO ST,ENGLEWOOD,80112,1,"$5,000"
Mega Millions,7-ELEVEN #34058A,2434 BRIARGATE PKWY,COLORADO SPRINGS,80920,3,"$44,500"
Mega Millions,7-ELEVEN #34087A,15610 E 104TH AVE,COMMERCE CITY,80022,1,"$1,000"
Mega Millions,7-ELEVEN #34131A,19390 E QUINCY AVE,AURORA,80015,1,"$1,000"
Mega Millions,7-ELEVEN #34159,12285 S PARKER RD,PARKER,80134,2,"$32,000"
Mega Millions,7-ELEVEN #34168B,3240 VILLAGE VISTA DR,ERIE,80516,1,"$5,000"
Mega Millions,7-ELEVEN #34179B,4709 TOWER RD,DENVER,80249,6,"$4,010,000"
Mega Millions,7-ELEVEN #34210C,11099 E I25 FRONTAGE RD,LONGMONT,80504,1,"$1,500"
Mega Millions,7-ELEVEN #34238H,50 TELEP AVE,JOHNSTOWN,80534,2,"$2,500"
Mega Millions,7-ELEVEN #34333A,3995 N LEWISTON ST #106,AURORA,80011,1,"$5,000"
Mega Millions,7-ELEVEN #34357A,621 17TH STREET #100,DENVER,80293,1,"$5,000"
Mega Millions,7-ELEVEN #34504B,7451 S GARTRELL RD,AURORA,80016,3,"$252,500"
Mega Millions,7-ELEVEN #34505B,1107 S SHERIDAN BLVD,LAKEWOOD,80232,1,"$1,000"
Mega Millions,7-ELEVEN #34570A,1755 BLAKE STREET,DENVER,80202,2,"$4,000"
Mega Millions,7-ELEVEN #34675B,1910 S HAVANA ST #2,AURORA,80014,1,"$1,500"
Mega Millions,7-ELEVEN #34683B,2201 S SHERIDAN BLVD,DENVER,80227,1,"$1,000"
Mega Millions,7-ELEVEN #34726A,2295 S CHAMBERS RD #O,AURORA,80014,2,"$3,500"
Mega Millions,7-ELEVEN #34741A,7080 TOWER RD,DENVER,80249,1,"$1,500"
Mega Millions,7-ELEVEN #34921A,2350 HANCOCK EXPRESSWAY,COLORADO SPRINGS,80910,2,"$11,000"
Mega Millions,7-ELEVEN #34924A,2803 W 10TH STREET,GREELEY,80634,1,"$2,500"
Mega Millions,7-ELEVEN #35269A,6008 FREDERICK WAY,FREDERICK,80530,1,"$10,000"
Mega Millions,7-ELEVEN #35338A,330 S ACADEMY BLVD,COLORADO SPRINGS,80910,2,"$4,000"
Mega Millions,7-ELEVEN #35357J,5190 W 113TH AVENUE,WESTMINSTER,80031,1,"$1,500"
Mega Millions,7-ELEVEN #35519B,4406 N SHERIDAN BLVD,DENVER,80212,1,"$30,000"
Mega Millions,7-ELEVEN #35536B,450 FEDERAL BLVD,DENVER,80204,1,"$1,500"
Mega Millions,7-ELEVEN #35606B,5785 WARD ROAD,ARVADA,80002,2,"$3,000"
Mega Millions,7-ELEVEN #35610A,7692 BARNES ROAD,COLORADO SPRINGS,80922,2,"$3,500"
Mega Millions,7-ELEVEN #35708A,4277 N TAFT AVENUE,LOVELAND,80538,1,"$1,500"
Mega Millions,7-ELEVEN #35715B,3876 E BROMLEY LANE,BRIGHTON,80601,2,"$6,000"
Mega Millions,7-ELEVEN #35717A,6400 E. CROSSROADS BLVD,LOVELAND,80538,1,"$1,500"
Mega Millions,7-ELEVEN #35864A,8991 E. 104TH AVE,HENDERSON,80640,1,"$1,000"
Mega Millions,7-ELEVEN #35995B,1600 E EVANS AVENUE,DENVER,80210,1,"$1,000"
Mega Millions,7-ELEVEN #36464B,8111 TOWER ROAD,COMMERCE CITY,80022,1,"$2,500"
Mega Millions,7-ELEVEN #36764A,8090 MERIDIAN ROAD,PEYTON,80831,2,"$2,500"
Mega Millions,7-ELEVEN #36769A,1510 S HOLLY STREET,DENVER,80222,1,"$1,500"
Mega Millions,7-ELEVEN #36775A,5797 QUEBEC STREET,COMMERCE CITY,80022,1,"$2,000"
Mega Millions,7-ELEVEN #37016A,4922 WILLOW ST,DENVER,80238,5,"$26,000"
Mega Millions,7-ELEVEN #37120A,3200 CHAMBERS RD,AURORA,80011,1,"$2,000"
Mega Millions,7-ELEVEN #37135A,6495 ISSAQUAH DR,COLORADO SPRINGS,80923,1,"$1,500"
Mega Millions,7-ELEVEN #37221A,23830 E SMOKY HILL RD,AURORA,80016,1,"$1,000"
Mega Millions,7-ELEVEN #37278A,990 W BAPTIST RD,COLORADO SPRINGS,80921,1,"$10,000"
Mega Millions,7-ELEVEN #37291A,12241 E 104TH PL,COMMERCE CITY,80022,1,"$1,000"
Mega Millions,7-ELEVEN #37554H,4415 MCINTYRE STREET,GOLDEN,80403,1,"$50,000"
Mega Millions,7-ELEVEN #37562A,8900 METRO AIRPORT AVE,BROOMFIELD,80021,2,"$3,500"
Mega Millions,7-ELEVEN #37570A,8836 E 96TH AVE,HENDERSON,80640,1,"$2,000"
Mega Millions,7-ELEVEN #38130A,2880 S CIRCLE DR,COLORADO SPRINGS,80906,1,"$1,000"
Mega Millions,7-ELEVEN #38135A,11275 MAIN STREET,BROOMFIELD,80020,1,"$1,000"
Mega Millions,7-ELEVEN #38364A,3800 TOWER RD,AURORA,80011,1,"$1,500"
Mega Millions,7-ELEVEN #39033A BCP WILLS,120 BLUE RIVER PKWY,SILVERTHORNE,80498,3,"$3,000"
Mega Millions,7-ELEVEN #39078C,1100 BROAD ST,MILLIKEN,80543,1,"$10,000"
Mega Millions,7-ELEVEN #39082B,1509 E EISENHOWER,LOVELAND,80537,1,"$2,000"
Mega Millions,7-ELEVEN #39169A,221 S 8TH STREET,COLORADO SPRINGS,80905,2,"$2,500"
Mega Millions,7-ELEVEN #39421A BCP WILLS,9301 S PARKER RD,PARKER,80134,1,"$5,000"
Mega Millions,7-ELEVEN #39472 BCP EL PASO CO,4325 S CAREFREE CIRCLE,COLORADO SPRINGS,80917,2,"$2,500"
Mega Millions,7-ELEVEN #39528H,16310 E QUINCY AVE,AURORA,80015,2,"$2,500"
Mega Millions,7-ELEVEN #39532A BCP WILLS,15550 E BRONCOS PARKWAY,CENTENNIAL,80112,2,"$15,000"
Mega Millions,7-ELEVEN #39591H,9355 E DRY CREEK ROAD,CENTENNIAL,80112,1,"$2,500"
Mega Millions,7-ELEVEN #39622H,15296 E HAMPDEN AVE,AURORA,80014,1,"$1,000"
Mega Millions,7-ELEVEN #39732A BCP TWINSTAR,13690 E ALAMEDA AVE,AURORA,80012,2,"$2,500"
Mega Millions,7-ELEVEN #39733A BCP TWIN STAR,9010 PARK MEADOWS DR,LONE TREE,80124,1,"$2,500"
Mega Millions,7-ELEVEN #39738A BCP TWIN STAR,1285 W BASELINE RD,LAFAYETTE,80026,1,"$1,500"
Mega Millions,7-ELEVEN #39752A BCP TWIN STAR,2271 W 128TH AVE,DENVER,80234,3,"$23,000"
Mega Millions,7-ELEVEN #39753A BCP TWIN STAR,7190 SIMMS STREET,ARVADA,80004,1,"$1,500"
Mega Millions,7-ELEVEN #39767H,290 S PIERCE ST,DENVER,80226,1,"$1,000"
Mega Millions,7-ELEVEN #39774H,9590 FEDERAL BLVD,DENVER,80260,2,"$22,500"
