Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Colorado Lotto+,SAFEWAY STORES INC #2246,757 E 20TH AVE,DENVER,80205,1,"$1,489"
Colorado Lotto+,SAFEWAY STORES INC #2341,620 W PLATTE AVE,FORT MORGAN,80701,1,"$1,486,109"
Colorado Lotto+,SAFEWAY STORES INC #2714,6220 E 14TH AVE,DENVER,80220,1,"$1,075"
Colorado Lotto+,SAFEWAY STORES INC #2791,181 W MINERAL,LITTLETON,80120,1,"$1,250"
Colorado Lotto+,SAFEWAY STORES INC #2792,27152 MAIN ST,CONIFER,80433,3,"$3,276"
Colorado Lotto+,SAFEWAY STORES INC #2915,860 CLEVELAND AVE,LOVELAND,80537,1,"$1,075"
Colorado Lotto+,SAFEWAY STORES INC #2917,1605 E BRIDGE ST,BRIGHTON,80601,1,"$1,007"
Colorado Lotto+,SANDY'S #1,1500 E MULBERRY ST,FORT COLLINS,80524,1,"$3,601,417"
Colorado Lotto+,SCHRADER CNTRY STORE #160,1601 S COLLEGE AVE,FORT COLLINS,80525,2,"$1,250"
Colorado Lotto+,SCHRADER CNTRY STORE #270,3531 S SHIELDS,FORT COLLINS,80526,1,"$1,250"
Colorado Lotto+,SCHRADER CNTRY STORE #460,429 S MASON ST,FORT COLLINS,80524,1,"$3,384"
Colorado Lotto+,SEVEN STAR LIQUOR MART,"390 S WILCOX ST
STE F",CASTLE ROCK,80104,1,"$1,000"
Colorado Lotto+,SHAMROCK MISSISSIPPI,2000 W MISSISSIPPI AVE,DENVER,80223,3,"$2,881,609"
Colorado Lotto+,SHELL #020,5901 S UNIVERSITY BLVD,LITTLETON,80121,1,"$1,090"
Colorado Lotto+,SHELL #151,5860 S KIPLING,LITTLETON,80127,1,"$1,682"
Colorado Lotto+,SHELL #185,1201 BONFORTE BLVD,PUEBLO,81001,1,"$1,500"
Colorado Lotto+,SHELL #186,7970 WADSWORTH BLVD,ARVADA,80003,1,"$1,907,759"
Colorado Lotto+,SHELL #244,3385 S TOWER RD,AURORA,80013,1,"$1,219"
Colorado Lotto+,SHELL #249,11203 W COLFAX AVE,LAKEWOOD,80215,2,"$2,424"
Colorado Lotto+,SHELL AT CONIFER STREET,1037 CONIFER STREET,FORT COLLINS,80524,1,"$1,000"
Colorado Lotto+,SHORTSTOP TABLE MESA,4742 TABLE MESA DR,BOULDER,80305,1,"$1,000"
Colorado Lotto+,SMOKER FRIENDLY #132,3925-B EAST 120TH,THORNTON,80233,1,"$1,132"
Colorado Lotto+,SMOKER FRIENDLY #152,13700 E ALAMEDA #B,AURORA,80012,1,"$1,250"
Colorado Lotto+,SMOKER FRIENDLY #157,40 E VICTORY WY,CRAIG,81625,1,"$1,177,811"
Colorado Lotto+,SMOKER FRIENDLY #163,"7705 WADSWORTH BLVD
UNIT H",ARVADA,80003,1,"$1,138"
Colorado Lotto+,SMOKER FRIENDLY #180,1525 GREENWOOD AVE,CANON CITY,81212,1,"$1,000"
Colorado Lotto+,SOCIETY CONOCO,100 SOCIETY DR,TELLURIDE,81435,1,"$1,285"
Colorado Lotto+,SOUTHSIDE STATION,905 WEISS DR  UNIT A,STEAMBOAT SPRINGS,80487,1,"$1,013"
Colorado Lotto+,SPEEDWAY #9494,2537 EAGLE DR,PAGOSA SPRINGS,81147,2,"$5,200,000"
Colorado Lotto+,SPEEDWAY #9495,20453 HWY 160,DURANGO,81301,1,"$1,500"
Colorado Lotto+,STINKER STORE #328,1700 N MAIN ST,LONGMONT,80501,1,"$1,500"
Colorado Lotto+,STINKER STORE #334,15291 E COLFAX AVE,AURORA,80011,1,"$1,200"
Colorado Lotto+,SUNDANCE DRUG & LIQUOR,16 KEARNS RD,SNOWMASS VILLAGE,81615,2,"$2,299"
Colorado Lotto+,SUPER QUIK STOP,1580 W 84TH AVENUE,DENVER,80260,1,"$1,032"
Colorado Lotto+,T3 GAS & LIQUORS,508 W BASELINE ROAD,LAFAYETTE,80026,1,"$1,216"
Colorado Lotto+,TEMPO MINI MART,20800 HWY 160,DURANGO,81303,1,"$1,000"
Colorado Lotto+,THE CORNER MARKET,9181 SPRUCE MOUNTAIN RD,LARKSPUR,80118,1,"$1,000"
Colorado Lotto+,THOMPSON RANCH CONVENIENCE,4810 LARIMER PARKWAY,JOHNSTOWN,80534,1,"$1,243"
Colorado Lotto+,THREE SEVEN CORNER MART,8950 E COLFAX AVE,AURORA,80010,1,"$1,250"
