,address,city,zip,latitude,longitude,number,street,county,country,population_count,coordinance
196,928 JERSEY ST,DENVER,80220,39.730825,-104.919307,928,Jersey St,Denver County,US,1806.0,"(39.730825, -104.919307)"
197,1833 PETERSON RD,COLORADO SPRINGS,80915,38.858416999999996,-104.700428,1833,Peterson Rd,El Paso County,US,1746.0,"(38.858416999999996, -104.700428)"
198,2495 N 9TH ST,CANON CITY,81212,38.462509000000004,-105.239099,2495,N 9th St,Fremont County,US,1821.0,"(38.462509000000004, -105.239099)"
199,222 CEDAR ST,JULESBURG,80737,40.988285,-102.263172,222,Cedar St,Sedgwick County,US,579.0,"(40.988285, -102.263172)"
200,11531 W KEN CARYL AVE,LITTLETON,80127,39.581363,-105.126488,11531,W Ken Caryl Ave,Jefferson County,US,1870.0,"(39.581363, -105.126488)"
201,3996 E EVANS,DENVER,80210,39.677890000000005,-104.941236,3996,E Evans Ave,Denver County,US,1170.0,"(39.677890000000005, -104.941236)"
202,6350 SHERIDAN BLVD,ARVADA,80003,39.810314,-105.051905,6350,Sheridan Blvd,Adams County,US,1900.0,"(39.810314, -105.051905)"
203,1355 KRAMERIA,DENVER,80220,39.737627,-104.916307,1355,Krameria St,Denver County,US,1855.0,"(39.737627, -104.916307)"
204,1750 W UINTAH,COLORADO SPRINGS,80904,38.848095,-104.847236,1750,W Uintah St,El Paso County,US,1235.0,"(38.848095, -104.847236)"
205,2205 W WILDCAT RESERVE PKWY,LITTLETON,80129,39.536592999999996,-105.01365700000001,2205,W Wildcat Reserve Pkwy,Douglas County,US,2690.0,"(39.536592999999996, -105.01365700000001)"
206,15250 E MISSISSIPPI AVE,AURORA,80012,39.695119,-104.810928,15250,E Mississippi Ave,Arapahoe County,US,1937.0,"(39.695119, -104.810928)"
207,4910 S YOSEMITE STREET,GREENWOOD VILLAGE,80111,39.626094,-104.88409899999999,4910,S Yosemite St,Arapahoe County,US,2994.0,"(39.626094, -104.88409899999999)"
208,13700 COLORADO BLVD,THORNTON,80602,39.944641,-104.938046,13700,Colorado Blvd,Adams County,US,1787.0,"(39.944641, -104.938046)"
209,1611 PACE ST,LONGMONT,80504,40.186569,-105.075907,1611,Pace St,Boulder County,US,1651.0,"(40.186569, -105.075907)"
210,6110 FIRESTONE BLVD,LONGMONT,80504,40.159273999999996,-104.939624,6110,Firestone Blvd,Weld County,US,2095.0,"(40.159273999999996, -104.939624)"
211,25701 E SMOKY HILL RD,AURORA,80016,39.587615,-104.687208,25701,E Smoky Hill Rd,Arapahoe County,US,6582.0,"(39.587615, -104.687208)"
212,5050 S FEDERAL BLVD,ENGLEWOOD,80110,39.625902,-105.02478700000002,5050,S Federal Blvd,Arapahoe County,US,1186.0,"(39.625902, -105.02478700000002)"
213,2100 35TH AVE,GREELEY,80634,40.404793,-104.733327,2100,35th Ave,Weld County,US,1157.0,"(40.404793, -104.733327)"
214,1045 1ST STREET,BENNETT,80102,39.742836,-104.43536999999999,1045,S 1st St,Adams County,US,2005.0,"(39.742836, -104.43536999999999)"
215,2355 W 136TH AVE,BROOMFIELD,80023,39.944633,-105.014316,2355,W 136th Ave,Broomfield County,US,2297.0,"(39.944633, -105.014316)"
216,9255 N UNION BLVD,COLORADO SPRINGS,80920,38.965458,-104.756204,9255,N Union Blvd,El Paso County,US,2534.0,"(38.965458, -104.756204)"
217,3050 W NORTHERN AVE,PUEBLO,81005,38.242784,-104.64590600000001,3050,W Northern Ave,Pueblo County,US,2070.0,"(38.242784, -104.64590600000001)"
218,8055 SHERIDAN BLVD,ARVADA,80003,39.843399,-105.056022,8055,Sheridan Blvd,Jefferson County,US,1608.0,"(39.843399, -105.056022)"
219,7901 S BROADWAY,LITTLETON,80122,39.572679,-104.990276,7901,S Broadway,Arapahoe County,US,1102.0,"(39.572679, -104.990276)"
220,17761 COTTONWOOD DR,PARKER,80134,39.560249,-104.78289000000001,17761,Cottonwood Dr,Douglas County,US,2664.0,"(39.560249, -104.78289000000001)"
221,7984 W ALAMEDA AVE,LAKEWOOD,80226,39.709471,-105.085183,7984,W Alameda Ave,Jefferson County,US,712.0,"(39.709471, -105.085183)"
222,18211 E HAMPDEN AVE,AURORA,80013,39.655062,-104.776145,18211,E Hampden Ave,Arapahoe County,US,1829.0,"(39.655062, -104.776145)"
223,1891 STATE HWY 7,ERIE,80516,40.002105,-105.01058,1891,Hwy 7,Weld County,US,894.0,"(40.002105, -105.01058)"
224,3620 AUSTIN BLUFFS PKWY,COLORADO SPRINGS,80918,38.892142,-104.761036,3620,Austin Bluffs Pkwy,El Paso County,US,1498.0,"(38.892142, -104.761036)"
225,750 RIDGE RD,CASTLE ROCK,80104,39.375859000000005,-104.827402,750,N Ridge Rd,Douglas County,US,2729.0,"(39.375859000000005, -104.827402)"
226,7915 CONSTITUTION AVE,COLORADO SPRINGS,80951,38.866677,-104.68029399999999,7915,Constitution Ave,El Paso County,US,6428.0,"(38.866677, -104.68029399999999)"
227,100 N 50TH AVE,BRIGHTON,80601,39.988764,-104.750479,100,N 50th Ave,Adams County,US,4191.0,"(39.988764, -104.750479)"
228,14967 CANDELAS PKWY,ARVADA,80007,39.861603,-105.167666,14967,Candelas Pkwy,Jefferson County,US,4434.0,"(39.861603, -105.167666)"
229,3050 S PEORIA ST,AURORA,80014,39.661039,-104.844732,3050,S Peoria St,Arapahoe County,US,2140.0,"(39.661039, -104.844732)"
230,19711 E SMOKY HILL RD,CENTENNIAL,80015,39.615157,-104.758354,19711,E Smoky Hill Rd,Arapahoe County,US,1332.0,"(39.615157, -104.758354)"
231,3100 S SHERIDAN,DENVER,80227,39.654827000000004,-105.052178,3100,S Sheridan Blvd,Denver County,US,544.0,"(39.654827000000004, -105.052178)"
232,3400 YOUNGFIELD ST,WHEAT RIDGE,80033,39.764496,-105.14016799999999,3400,Youngfield St,Jefferson County,US,1011.0,"(39.764496, -105.14016799999999)"
233,9731 W 58TH AVE,ARVADA,80002,39.802965,-105.10656399999999,9731,W 58th Ave,Jefferson County,US,2640.0,"(39.802965, -105.10656399999999)"
234,9731 W 58TH AVE,ARVADA,80002,39.802965,-105.10656399999999,9731,W 58th Ave,Jefferson County,US,2640.0,"(39.802965, -105.10656399999999)"
235,750 E 104TH AVE,THORNTON,80233,39.884036,-104.97609299999999,750,E 104th Ave,Adams County,US,3682.0,"(39.884036, -104.97609299999999)"
236,11747 W KEN CARYL AVE,LITTLETON,80127,39.582159000000004,-105.130816,11747,W Ken Caryl Ave,Jefferson County,US,1771.0,"(39.582159000000004, -105.130816)"
237,6470 E HAMPDEN AVE,DENVER,80222,39.652097,-104.914133,6470,E Hampden Ave,Denver County,US,2274.0,"(39.652097, -104.914133)"
238,9551 S UNIVERSITY BLVD,HIGHLANDS RANCH,80126,39.542286,-104.944251,9551,S University Blvd,Douglas County,US,2687.0,"(39.542286, -104.944251)"
239,6550 LOOKOUT RD,BOULDER,80301,40.071917,-105.201117,6550,Lookout Rd,Boulder County,US,1436.0,"(40.071917, -105.201117)"
240,1155 S HAVANA,AURORA,80012,39.694588,-104.86708300000001,1155,S Havana St,Arapahoe County,US,2765.0,"(39.694588, -104.86708300000001)"
241,1927 S WADSWORTH,LAKEWOOD,80227,39.681614,-105.08193700000001,1927,S Wadsworth Blvd,Jefferson County,US,1057.0,"(39.681614, -105.08193700000001)"
242,3600 TABLE MESA DRIVE,BOULDER,80305,39.984614,-105.251504,3600,Table Mesa Dr,Boulder County,US,2598.0,"(39.984614, -105.251504)"
243,5050 E ARAPAHOE RD,LITTLETON,80122,39.594471,-104.928234,5050,E Arapahoe Rd,Arapahoe County,US,1934.0,"(39.594471, -104.928234)"
244,12043 W ALAMEDA,LAKEWOOD,80228,39.708836,-105.137262,12043,W Alameda Pkwy,Jefferson County,US,1780.0,"(39.708836, -105.137262)"
245,6760 S PIERCE ST,LITTLETON,80128,39.593532,-105.07202099999999,6760,S Pierce St,Jefferson County,US,1333.0,"(39.593532, -105.07202099999999)"
246,102 W 29TH ST,PUEBLO,81008,38.297270000000005,-104.606569,102,W 29th St,Pueblo County,US,878.0,"(38.297270000000005, -104.606569)"
247,253 E 29TH ST,LOVELAND,80538,40.425022999999996,-105.07528500000001,253,E 29th St,Larimer County,US,1843.0,"(40.425022999999996, -105.07528500000001)"
248,12350 W 64TH AVE,ARVADA,80004,39.811468,-105.136429,12350,W 64th Ave,Jefferson County,US,1309.0,"(39.811468, -105.136429)"
249,7575 S UNIVERSITY BLVD,LITTLETON,80122,39.579127,-104.96134199999999,7575,S University Blvd,Arapahoe County,US,650.0,"(39.579127, -104.96134199999999)"
250,17000 E ILIFF AVE,AURORA,80013,39.67179,-104.790188,17000,E Iliff Ave,Arapahoe County,US,771.0,"(39.67179, -104.790188)"
251,15109 E COLFAX AVENUE,AURORA,80011,39.741648,-104.81259399999999,15109,E Colfax Ave,Adams County,US,1904.0,"(39.741648, -104.81259399999999)"
252,9983 WADSWORTH PKWY,BROOMFIELD,80021,39.87661,-105.098183,9983,Wadsworth Pkwy,Jefferson County,US,1949.0,"(39.87661, -105.098183)"
253,815 CHEYENNE MEADOWS,COLORADO SPRINGS,80906,38.777384999999995,-104.81259399999999,815,Cheyenne Meadows Rd,El Paso County,US,2550.0,"(38.777384999999995, -104.81259399999999)"
254,1545 S KIPLING ST,LAKEWOOD,80232,39.689516,-105.11794099999999,1545,State Hwy 391,Jefferson County,US,1011.0,"(39.689516, -105.11794099999999)"
255,1650 30TH ST,BOULDER,80301,40.015713,-105.251834,1650,30th St,Boulder County,US,1415.0,"(40.015713, -105.251834)"
256,8200 S HOLLY,LITTLETON,80122,39.568168,-104.92285600000001,8200,S Holly St,Arapahoe County,US,2030.0,"(39.568168, -104.92285600000001)"
257,3801 E 120TH AVE,THORNTON,80233,39.914751,-104.943351,3801,E 120th Ave,Adams County,US,3270.0,"(39.914751, -104.943351)"
258,4271 S BUCKLEY RD,AURORA,80013,39.639346,-104.793429,4271,S Buckley Rd,Arapahoe County,US,1115.0,"(39.639346, -104.793429)"
259,2750 S COLORADO BLVD,DENVER,80222,39.666726000000004,-104.93688799999998,2750,S Colorado Blvd,Denver County,US,902.0,"(39.666726000000004, -104.93688799999998)"
260,12959 S PARKER RD,PARKER,80134,39.479709,-104.760666,12959,S Parker Rd,Douglas County,US,857.0,"(39.479709, -104.760666)"
261,3570 HARTSEL DR,COLORADO SPRINGS,80920,38.939667,-104.760482,3570,Hartsel Dr,El Paso County,US,1291.0,"(38.939667, -104.760482)"
262,1070 W BAPTIST RD,COLORADO SPRINGS,80921,39.057853,-104.843677,1070,W Baptist Rd,El Paso County,US,4973.0,"(39.057853, -104.843677)"
263,995 S HOVER ST,LONGMONT,80501,40.150579,-105.134101,995,S Hover St,Boulder County,US,2286.0,"(40.150579, -105.134101)"
264,500 E BROMLEY LN,BRIGHTON,80601,39.97213,-104.81668,500,E Bromley Ln,Adams County,US,3038.0,"(39.97213, -104.81668)"
265,18605 GREEN VALLEY RANCH BLVD,DENVER,80249,39.78505,-104.770157,18605,Green Valley Ranch Blvd,Denver County,US,3012.0,"(39.78505, -104.770157)"
266,18605 GREEN VALLEY RANCH BLVD,DENVER,80249,39.78505,-104.770157,18605,Green Valley Ranch Blvd,Denver County,US,3012.0,"(39.78505, -104.770157)"
267,6412 S PARKER RD,AURORA,80016,39.600297,-104.802898,6412,S Parker Rd,Arapahoe County,US,2036.0,"(39.600297, -104.802898)"
268,15200 W 64TH AVE,ARVADA,80007,39.810644,-105.171875,15200,W 64th Ave,Jefferson County,US,2265.0,"(39.810644, -105.171875)"
269,12167 SHERIDAN BLVD,BROOMFIELD,80020,39.916810999999996,-105.05588300000001,12167,Sheridan Blvd,Broomfield County,US,2055.0,"(39.916810999999996, -105.05588300000001)"
270,17031 LINCOLN AVE,PARKER,80134,39.536037,-104.790738,17031,E Lincoln Ave,Douglas County,US,1431.0,"(39.536037, -104.790738)"
271,1150 US HIGHWAY 287,BROOMFIELD,80020,39.933081,-105.08804599999999,1150,US Highway 287,Broomfield County,US,1164.0,"(39.933081, -105.08804599999999)"
272,1725 SHERIDAN BLVD,EDGEWATER,80214,39.744943,-105.05596499999999,1725,Sheridan Blvd,Jefferson County,US,1499.0,"(39.744943, -105.05596499999999)"
273,7284 LAGAE RD,CASTLE ROCK,80108,39.468755,-104.879742,7284,Lagae Rd,Douglas County,US,760.0,"(39.468755, -104.879742)"
274,2810 QUEBEC ST,DENVER,80207,39.7585,-104.90330900000001,2810,Quebec St,Denver County,US,11430.0,"(39.7585, -104.90330900000001)"
275,6000 S HOLLY ST,GREENWOOD VILLAGE,80111,39.607849,-104.92110600000001,6000,S Holly St,Arapahoe County,US,809.0,"(39.607849, -104.92110600000001)"
276,5950 S HOLLY ST,GREENWOOD VILLAGE,80111,39.608072,-104.922299,5950,S Holly St,Arapahoe County,US,809.0,"(39.608072, -104.922299)"
277,2602 S TIMBERLINE RD,FORT COLLINS,80525,40.551406,-105.03802900000001,2602,S Timberline Rd,Larimer County,US,4512.0,"(40.551406, -105.03802900000001)"
278,6030 STETSON HILLS BLVD,COLORADO SPRINGS,80923,38.912109,-104.71633800000001,6030,Stetson Hills Blvd,El Paso County,US,3054.0,"(38.912109, -104.71633800000001)"
279,26301 HILLTOP DR HWY 74,KITTREDGE,80457,39.656994,-105.30053600000001,26301,Hill Top Dr,Jefferson County,US,636.0,"(39.656994, -105.30053600000001)"
280,705 TAUGHENBAUGH,RIFLE,81650,39.522145,-107.77753899999999,705,Taughenbaugh Blvd,Garfield County,US,867.0,"(39.522145, -107.77753899999999)"
281,105 6TH ST,GLENWOOD SPRINGS,81601,39.550517,-107.326691,105,6th St,Garfield County,US,574.0,"(39.550517, -107.326691)"
282,9665 PROMINENT PT,COLORADO SPRINGS,80924,38.97053,-104.741522,9665,Prominent Pt,El Paso County,US,9401.0,"(38.97053, -104.741522)"
283,7375 DURYEA DR,COLORADO SPRINGS,80923,38.939661,-104.728288,7375,Duryea Dr,El Paso County,US,5572.0,"(38.939661, -104.728288)"
284,3025 HANCOCK EXPRESS WAY,COLORADO SPRINGS,80916,38.789619,-104.75488399999999,3025,Hancock Expy,El Paso County,US,1750.0,"(38.789619, -104.75488399999999)"
285,101 RUBY RANCH RD,SILVERTHORNE,80498,39.646054,-106.07951000000001,101,Ruby Rd,Summit County,US,3882.0,"(39.646054, -106.07951000000001)"
286,366 N 71ST AVE,GREELEY,80634,40.436933,-104.792289,366,N 71st Ave,Weld County,US,2635.0,"(40.436933, -104.792289)"
287,30393 KINGS VALLEY DR,CONIFER,80433,39.49176,-105.347862,30393,Kings Valley Dr,Jefferson County,US,888.0,"(39.49176, -105.347862)"
288,13799 PACIFIC CIR,LONGMONT,80504,40.203511999999996,-104.97536799999999,13799,Pacific Cir,Weld County,US,3321.0,"(40.203511999999996, -104.97536799999999)"
289,7027 20TH STREET,GREELEY,80634,40.407415,-104.793585,7027,20th St,Weld County,US,2897.0,"(40.407415, -104.793585)"
290,80 ANGLERS DR,STEAMBOAT SPRINGS,80477,40.467455,-106.828593,80,Anglers Dr,Routt County,US,2017.0,"(40.467455, -106.828593)"
291,2150 E BRIDGE STREET,BRIGHTON,80601,39.986621,-104.79575200000001,2150,E Bridge St,Adams County,US,1660.0,"(39.986621, -104.79575200000001)"
292,8150 6TH STREET,WELLINGTON,80549,40.702952,-104.99954699999999,8150,6th St,Larimer County,US,1404.0,"(40.702952, -104.99954699999999)"
293,308 W AGATE AVE,GRANBY,80446,40.085995000000004,-105.947673,308,W Agate Ave,Grand County,US,1951.0,"(40.085995000000004, -105.947673)"
294,127 LAURA WAY,DACONO,80514,40.086807,-104.974399,127,Laura Way,Weld County,US,898.0,"(40.086807, -104.974399)"
295,1497 E EISENHOWER BLVD,LOVELAND,80537,40.40783,-105.05493200000001,1497,E Eisenhower Blvd,Larimer County,US,1590.0,"(40.40783, -105.05493200000001)"
296,6525 FOUNTAIN MESA RD,COLORADO SPRINGS,80911,38.73702,-104.69479399999999,6525,Fountain Mesa Rd,El Paso County,US,1944.0,"(38.73702, -104.69479399999999)"
297,4901 N CASTLETON DR,CASTLE ROCK,80109,39.409945,-104.872404,4901,N Castleton Dr,Douglas County,US,1585.0,"(39.409945, -104.872404)"
298,243 HWY 5O EAST,AVONDALE,81022,38.102502,-104.529794,243,HWY 50 East,Pueblo County,US,,"(38.102502, -104.529794)"
299,150 W DRAKE ROAD,FORT COLLINS,80525,40.553705,-105.078521,150,W Drake Rd,Larimer County,US,1116.0,"(40.553705, -105.078521)"
300,2419 N ELIZABETH,PUEBLO,81003,38.292301,-104.61532700000001,2419,N Elizabeth St,Pueblo County,US,858.0,"(38.292301, -104.61532700000001)"
301,4800 THATCHER,PUEBLO,81005,38.258036,-104.671615,4800,Thatcher Ave,Pueblo County,US,1076.0,"(38.258036, -104.671615)"
302,6857 SPACE VILLAGE AVE,COLORADO SPRINGS,80915,38.838513,-104.69937,6857,Space Village Ave,El Paso County,US,3134.0,"(38.838513, -104.69937)"
303,1930 S ACADEMY BLVD,COLORADO SPRINGS,80916,38.804190000000006,-104.758827,1930,S Academy Blvd,El Paso County,US,2275.0,"(38.804190000000006, -104.758827)"
304,2405 W NORTHERN AVE,PUEBLO,81004,38.244585,-104.638848,2405,W Northern Ave,Pueblo County,US,2070.0,"(38.244585, -104.638848)"
305,912 ROYAL GORGE BLVD,CANON CITY,81212,38.442194,-105.23431399999998,912,Royal Gorge Blvd,Fremont County,US,916.0,"(38.442194, -105.23431399999998)"
306,137 MANITOU AVE,MANITOU SPRINGS,80829,38.858076000000004,-104.894602,137,Manitou Ave,El Paso County,US,1413.0,"(38.858076000000004, -104.894602)"
307,705 CARSON,LAS ANIMAS,81054,38.064753,-103.22166700000001,705,Carson Ave,Bent County,US,2619.0,"(38.064753, -103.22166700000001)"
308,1525 W 4TH ST,PUEBLO,81004,38.266237,-104.62853100000001,1525,W 4th St,Pueblo County,US,1435.0,"(38.266237, -104.62853100000001)"
309,519 W HWY 24,WOODLAND PARK,80866,38.993137,-105.058904,519,W US 24,Teller County,US,851.0,"(38.993137, -105.058904)"
310,1700 SANTA FE DR,PUEBLO,81006,38.24517,-104.579348,1700,Santa Fe Dr,Pueblo County,US,1213.0,"(38.24517, -104.579348)"
311,506 E MAIN ST,FLORENCE,81226,38.388436999999996,-105.11119199999999,506,E Main St,Fremont County,US,1733.0,"(38.388436999999996, -105.11119199999999)"
312,710 COPPER CENTER PARKWAY,COLORADO SPRINGS,80921,39.021436,-104.813949,710,Copper Center Pkwy,El Paso County,US,4219.0,"(39.021436, -104.813949)"
313,161 NORTHGATE BLVD,COLORADO SPRINGS,80921,39.027336,-104.813946,161,Northgate Estates Dr,El Paso County,US,2462.0,"(39.027336, -104.813946)"
314,102 N RUBEY DR,GOLDEN,80403,39.764485,-105.23292099999999,102,N Rubey Dr,Jefferson County,US,2144.0,"(39.764485, -105.23292099999999)"
315,700 WARNER DR,GOLDEN,80401,39.728535,-105.21030800000001,700,Warner Dr,Jefferson County,US,1930.0,"(39.728535, -105.21030800000001)"
316,8211 6TH ST,WELLINGTON,80549,40.704043,-105.000464,8211,6th St,Larimer County,US,2798.0,"(40.704043, -105.000464)"
317,101 W BRONTOSAURUS BLVD,DINOSAUR,81610,40.245714,-109.008886,101,Brontosaurus Blvd,Moffat County,US,578.0,"(40.245714, -109.008886)"
318,4125 W NORTHERN AVE,PUEBLO,81005,38.233807,-104.666389,4125,W Northern Ave,Pueblo County,US,611.0,"(38.233807, -104.666389)"
319,16355 W 64TH AVE,ARVADA,80007,39.813124,-105.18338200000001,16355,W 64th Ave,Jefferson County,US,3010.0,"(39.813124, -105.18338200000001)"
320,1901 WADSWORTH BLVD,LAKEWOOD,80214,39.74605,-105.08181599999999,1901,Wadsworth Blvd,Jefferson County,US,1410.0,"(39.74605, -105.08181599999999)"
321,0100 WELD CO RD 37,BRIGHTON,80603,40.001979999999996,-104.715825,100,County Rd 37,Weld County,US,3617.0,"(40.001979999999996, -104.715825)"
322,1343 13 ROAD,LOMA,81524,39.256425,-108.78446000000001,1343,13 Road,Mesa County,US,,"(39.256425, -108.78446000000001)"
323,301 E OLIVE ST,LAMAR,81052,38.088454999999996,-102.61652099999999,301,E Olive St,Prowers County,US,1574.0,"(38.088454999999996, -102.61652099999999)"
324,1470 N AIRPORT BLVD,AURORA,80011,39.739563000000004,-104.790255,1470,N Airport Blvd,Arapahoe County,US,1434.0,"(39.739563000000004, -104.790255)"
325,1005 5TH ST,CALHAN,80808,39.036295,-104.30363100000001,1005,5th St,El Paso County,US,1733.0,"(39.036295, -104.30363100000001)"
326,165 N MARKET ST,KEENESBURG,80643,40.111866,-104.521752,165,N Market St,Weld County,US,3025.0,"(40.111866, -104.521752)"
327,1103 E US HWY 50,FRUITA,81521,39.148883000000005,-108.71922099999999,1103,E Hwy 6 And 50,Mesa County,US,4727.0,"(39.148883000000005, -108.71922099999999)"
328,11160 COLORADO BLVD,THORNTON,80233,39.898718,-104.93919299999999,11160,Colorado Blvd,Adams County,US,1187.0,"(39.898718, -104.93919299999999)"
329,21800 E QUINCY AVE,AURORA,80015,39.637916,-104.733473,21800,E Quincy Ave,Arapahoe County,US,3266.0,"(39.637916, -104.733473)"
330,107 LAURA WAY,DACONO,80514,40.086996,-104.97599199999999,107,Laura Ct,Weld County,US,1725.0,"(40.086996, -104.97599199999999)"
331,1020 11TH STREET,GREELEY,80631,40.420916,-104.695599,1020,11th St,Weld County,US,578.0,"(40.420916, -104.695599)"
332,182 S ST VRAIN AVE,ESTES PARK,80517,40.374472,-105.509072,182,S St Vrain Ave,Larimer County,US,2025.0,"(40.374472, -105.509072)"
333,14375 LINCOLN ST,THORNTON,80023,39.956711,-104.98482299999999,14375,Lincoln St,Adams County,US,1687.0,"(39.956711, -104.98482299999999)"
334,2336 LEGACY CIR,ELIZABETH,80107,39.359959,-104.620191,2336,Legacy Cir,Elbert County,US,1764.0,"(39.359959, -104.620191)"
335,4620 W 121ST AVE,BROOMFIELD,80020,39.914708000000005,-105.04663500000001,4620,W 121st Ave,Broomfield County,US,1010.0,"(39.914708000000005, -105.04663500000001)"
336,191 S MCCASLIN BLVD,SUPERIOR,80027,39.96887,-105.16369399999999,191,S McCaslin Blvd,Boulder County,US,1524.0,"(39.96887, -105.16369399999999)"
337,12780 COLORADO BLVD,THORNTON,80241,39.927888,-104.939466,12780,Colorado Blvd,Adams County,US,1990.0,"(39.927888, -104.939466)"
338,290 N HWY 287,LAFAYETTE,80026,40.026334000000006,-105.104899,290,N HWY 287,Boulder County,US,2058.5,"(40.026334000000006, -105.104899)"
339,4400 CHAMBERS RD,DENVER,80239,39.774570000000004,-104.80974,4400,Chambers Rd,Denver County,US,2699.0,"(39.774570000000004, -104.80974)"
340,2274 S OLIVE ST,DENVER,80224,39.675504,-104.907032,2274,S Olive St,Denver County,US,2214.0,"(39.675504, -104.907032)"
341,2995 28TH ST,BOULDER,80301,40.028791,-105.258798,2995,28th St,Boulder County,US,1578.0,"(40.028791, -105.258798)"
342,943 N MURRAY BLVD,COLORADO SPRINGS,80915,38.846795,-104.747652,943,N Murray Blvd,El Paso County,US,1118.0,"(38.846795, -104.747652)"
343,403 E OLIVE ST,LAMAR,81052,38.088515,-102.615185,403,E Olive St,Prowers County,US,1574.0,"(38.088515, -102.615185)"
344,113 ELIZABETH ST,ELIZABETH,80107,39.358156,-104.60824699999999,113,Elizabeth St,Elbert County,US,1764.0,"(39.358156, -104.60824699999999)"
345,5500 ARAPAHOE AVE,BOULDER,80303,40.014312,-105.22501899999999,5500,Arapahoe Ave,Boulder County,US,1721.0,"(40.014312, -105.22501899999999)"
346,14490 E 6TH AVE,AURORA,80011,39.725196999999994,-104.819914,14490,E 6th Ave,Arapahoe County,US,1793.0,"(39.725196999999994, -104.819914)"
347,1301 E MAIN ST,MONTROSE,81401,38.486377000000005,-107.867298,1301,E Main St,Montrose County,US,2887.0,"(38.486377000000005, -107.867298)"
348,101 S MCCULLOCH BLVD,PUEBLO WEST,81007,38.332595,-104.745133,101,S McCulloch Blvd,Pueblo County,US,1522.0,"(38.332595, -104.745133)"
349,"5500 S SIMMS ST
STE A",LITTLETON,80127,39.615165000000005,-105.128293,5500,S Simms St,Jefferson County,US,2306.0,"(39.615165000000005, -105.128293)"
350,599 W LITTLETON BLVD,LITTLETON,80120,39.613684,-104.994624,599,W Littleton Blvd,Arapahoe County,US,1742.0,"(39.613684, -104.994624)"
351,140 HWY 550,RIDGWAY,81432,38.151493,-107.74776499999999,140,Hwy 550,Ouray County,US,898.0,"(38.151493, -107.74776499999999)"
352,210 CRESTWOOD DRIVE,GYPSUM,81637,39.646618,-106.94633600000002,210,Crestwood Dr,Eagle County,US,2823.0,"(39.646618, -106.94633600000002)"
353,4140 S US HIGHWAY 85 87,COLORADO SPRINGS,80911,38.77219,-104.765793,4140,S Highway 85,El Paso County,US,1535.0,"(38.77219, -104.765793)"
354,7735 WADSWORTH BLVD #21,ARVADA,80003,39.837137,-105.083676,7735,Wadsworth Blvd,Jefferson County,US,1531.0,"(39.837137, -105.083676)"
355,910 W CHERRY ST,LOUISVILLE,80027,39.964994,-105.14863799999999,910,W Cherry St,Boulder County,US,1219.0,"(39.964994, -105.14863799999999)"
356,"200 QUEBEC ST
BLDG 400",DENVER,80230,39.720011,-104.90318899999998,200,N Quebec St,Denver County,US,4479.0,"(39.720011, -104.90318899999998)"
357,1200 S BUCKLEY RD,AURORA,80017,39.694918,-104.789523,1200,S Buckley Rd,Arapahoe County,US,2124.0,"(39.694918, -104.789523)"
358,323 S BROADWAY,DENVER,80209,39.710372,-104.98890300000001,323,S Broadway,Denver County,US,1490.0,"(39.710372, -104.98890300000001)"
359,2512 BROADWAY,GRAND JUNCTION,81507,39.06678,-108.588356,2512,Broadway,Mesa County,US,1270.0,"(39.06678, -108.588356)"
360,1121 E 17TH AVENUE,LONGMONT,80504,40.188302,-105.07183799999999,1121,E 17th Ave,Boulder County,US,1976.0,"(40.188302, -105.07183799999999)"
361,451 E WONDER VIEW AVE,ESTES PARK,80517,40.38008,-105.515739,451,E Wonderview Ave,Larimer County,US,1852.0,"(40.38008, -105.515739)"
362,6460 E YALE AVE UNIT 7,DENVER,80222,39.66725,-104.915576,6460,E Yale Ave,Denver County,US,1633.0,"(39.66725, -104.915576)"
363,7561 W 80TH AVE,ARVADA,80003,39.843282,-105.080771,7561,W 80th Ave,Jefferson County,US,629.0,"(39.843282, -105.080771)"
364,9180 W COLFAX,LAKEWOOD,80215,39.739084000000005,-105.09884,9180,W Colfax Ave,Jefferson County,US,1352.0,"(39.739084000000005, -105.09884)"
365,20123 E SMOKY HILL RD,CENTENNIAL,80015,39.611588,-104.753785,20123,E Smoky Hill Rd,Arapahoe County,US,1504.0,"(39.611588, -104.753785)"
366,5025 S KIPLING PKWY,LITTLETON,80127,39.625527000000005,-105.111623,5025,S Kipling Pkwy,Jefferson County,US,1878.0,"(39.625527000000005, -105.111623)"
367,13111 W ALAMEDA PKWY,LAKEWOOD,80228,39.698411,-105.145873,13111,W Alameda Pkwy,Jefferson County,US,1780.0,"(39.698411, -105.145873)"
368,1701 JACKSON ST,GOLDEN,80401,39.752171000000004,-105.215548,1701,Jackson St,Jefferson County,US,1891.0,"(39.752171000000004, -105.215548)"
369,6460 E YALE AVE UNIT 7,DENVER,80222,39.66725,-104.915576,6460,E Yale Ave,Denver County,US,1633.0,"(39.66725, -104.915576)"
370,11051 S PARKER RD,PARKER,80134,39.516079,-104.766473,11051,S Parker Rd,Douglas County,US,1320.0,"(39.516079, -104.766473)"
371,2150 S DOWNING ST,DENVER,80210,39.677566999999996,-104.97238200000001,2150,S Downing St,Denver County,US,1919.0,"(39.677566999999996, -104.97238200000001)"
