,address,city,zip,latitude,longitude,number,street,county,country,population_count,coordinance
68,5601 E 136TH AVE,THORNTON,80602,39.94359,-104.92136399999998,5601,E 136th Ave,Adams County,US,8039.0,"(39.94359, -104.92136399999998)"
69,2880 S CIRCLE DR,COLORADO SPRINGS,80906,38.796682000000004,-104.794878,2880,S Circle Dr,El Paso County,US,420.0,"(38.796682000000004, -104.794878)"
70,3190 W 38TH AVENUE,DENVER,80211,39.769135,-105.02965800000001,3190,W 38th Ave,Denver County,US,562.0,"(39.769135, -105.02965800000001)"
71,12358 S PARKER RD,PARKER,80134,39.491890000000005,-104.758913,12358,S Parker Rd,Douglas County,US,1983.0,"(39.491890000000005, -104.758913)"
72,8820 COLORADO BLVD,THORNTON,80229,39.85638,-104.939447,8820,Colorado Blvd,Adams County,US,1724.0,"(39.85638, -104.939447)"
73,1810 MAIN STREET,SECURITY,80911,38.768545,-104.739731,1810,Main St,El Paso County,US,1956.0,"(38.768545, -104.739731)"
74,10815 W JEWELL AVE,DENVER,80232,39.682613,-105.119092,10815,W Jewell Ave,Jefferson County,US,1624.0,"(39.682613, -105.119092)"
75,7486 WESTGATE DRIVE,WINDSOR,80528,40.480031,-104.98775400000001,7486,Westgate Dr,Larimer County,US,8065.0,"(40.480031, -104.98775400000001)"
76,2299 S HAVANA STREET,AURORA,80014,39.675277,-104.866477,2299,S Havana St,Arapahoe County,US,1529.0,"(39.675277, -104.866477)"
77,6933 E 80TH AVE,COMMERCE CITY,80022,39.841863000000004,-104.905878,6933,E 80th Ave,Adams County,US,904.0,"(39.841863000000004, -104.905878)"
78,2601 S LEWIS WY,LAKEWOOD,80227,39.668826,-105.11236799999999,2601,S Lewis Way,Jefferson County,US,1769.0,"(39.668826, -105.11236799999999)"
79,400 E 104TH AVE,THORNTON,80233,39.884687,-104.98168500000001,400,E 104th Ave,Adams County,US,1107.0,"(39.884687, -104.98168500000001)"
80,"9660 E ALAMEDA AVE
STE 103",DENVER,80247,39.708207,-104.87682,9660,E Alameda Ave,Denver County,US,505.0,"(39.708207, -104.87682)"
81,311 W COLLEGE DR,DURANGO,81301,37.271967,-107.885101,311,W College Dr,La Plata County,US,1034.0,"(37.271967, -107.885101)"
82,10580 HURON ST,NORTHGLENN,80234,39.888529999999996,-104.99628,10580,Huron St,Adams County,US,937.0,"(39.888529999999996, -104.99628)"
83,2913 F ROAD #104,GRAND JUNCTION,81504,39.090584,-108.512957,2913,Patterson Rd,Mesa County,US,603.0,"(39.090584, -108.512957)"
84,623 GRAND AVE,PUEBLO,81003,38.273108,-104.611926,623,N Grand Ave,Pueblo County,US,1120.0,"(38.273108, -104.611926)"
85,723 S PUEBLO BLVD,PUEBLO,81005,38.253669,-104.662253,723,S Pueblo Blvd,Pueblo County,US,1076.0,"(38.253669, -104.662253)"
86,337 W 1ST STREET,SALIDA,81201,38.537587,-105.993582,337,W 1st St,Chaffee County,US,1078.0,"(38.537587, -105.993582)"
87,821 W TOMICHI AVE,GUNNISON,81230,38.544032,-106.93711299999998,821,W Tomichi Ave,Gunnison County,US,657.0,"(38.544032, -106.93711299999998)"
88,5050 BOARDWALK DR,COLORADO SPRINGS,80919,38.904626,-104.863768,5050,Boardwalk Dr,El Paso County,US,2010.0,"(38.904626, -104.863768)"
89,11614 W BELLEVIEW #A,LITTLETON,80127,39.623474,-105.12986000000001,11614,W Belleview Ave,Jefferson County,US,1760.0,"(39.623474, -105.12986000000001)"
