Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Powerball,7-ELEVEN #34087A,15610 E 104TH AVE,COMMERCE CITY,80022,1,"$50,000"
Powerball,7-ELEVEN #34181B,21405 E QUINCY AVE,AURORA,80015,1,"$10,000"
Powerball,7-ELEVEN #34209B,008 NOTTINGHAM ROAD,AVON,81620,2,"$11,000"
Powerball,7-ELEVEN #34238H,50 TELEP AVE,JOHNSTOWN,80534,1,"$50,000"
Powerball,7-ELEVEN #34675B,1910 S HAVANA ST #2,AURORA,80014,1,"$10,000"
Powerball,7-ELEVEN #35338A,330 S ACADEMY BLVD,COLORADO SPRINGS,80910,1,"$10,000"
Powerball,7-ELEVEN #35506J,3045 W PROSPECT ROAD,FORT COLLINS,80526,1,"$10,000"
Powerball,7-ELEVEN #35534A,5280 ASTROZON BLVD,COLORADO SPRINGS,80916,1,"$10,000"
Powerball,7-ELEVEN #35610A,7692 BARNES ROAD,COLORADO SPRINGS,80922,2,"$150,000"
Powerball,7-ELEVEN #35828A,6966 DAHLIA ST,COMMERCE CITY,80022,1,"$50,000"
Powerball,7-ELEVEN #36013A,12060 E 120TH AVENUE,HENDERSON,80640,1,"$150,000"
Powerball,7-ELEVEN #36019A,1800 WELTON STREET,DENVER,80202,1,"$50,000"
Powerball,7-ELEVEN #37198A,2093 S CATHAY WAY,AURORA,80013,2,"$100,000"
Powerball,7-ELEVEN #39504A TWIN STAR,4351 S TAMARAC PKWY,DENVER,80237,2,"$50,000"
Powerball,7-ELEVEN #39738A BCP TWIN STAR,1285 W BASELINE RD,LAFAYETTE,80026,1,"$10,000"
Powerball,A-B PETROLEUM #16,715 S MAIN ST,BRECKENRIDGE,80424,1,"$50,000"
Powerball,A-B PETROLEUM #19,1253 W ALAMEDA AVE,DENVER,80223,3,"$200,100"
Powerball,A-B PETROLEUM #33,502 SHERIDAN,LAKEWOOD,80226,1,"$10,000"
Powerball,ALTA CONVENIENCE #3106,2801 N ELIZABETH,PUEBLO,81003,2,"$2,200,000"
Powerball,ALTA CONVENIENCE #3107,1350 E 4TH ST,PUEBLO,81001,1,"$10,000"
Powerball,ALTA CONVENIENCE #3109,2102 NORWOOD AVE,PUEBLO,81001,1,"$10,000"
Powerball,ALTA CONVENIENCE #6002,2129 TEMPLETON GAP,COLORADO SPRINGS,80907,1,"$20,000"
Powerball,ALTA CONVENIENCE #6122,1228 ROYAL GORGE BLVD,CANON CITY,81212,2,"$2,000"
Powerball,ALTA CONVENIENCE #6316,2249 BROADWAY,GRAND JUNCTION,81507,2,"$51,000"
Powerball,ANTLER GENERAL STORE,102 SO 6TH ST,WESTCLIFFE,81252,1,"$10,000"
Powerball,AS & DC CONOCO,16920 E QUINCY AVE,AURORA,80015,1,"$100,000"
Powerball,A-Z CONVENIENCE,"16070 E DARTMOUTH AVE
STE 12",AURORA,80013,1,"$1,000"
Powerball,BEAR VALLEY CONOCO,3097 S SHERIDAN BLVD,DENVER,80227,1,"$400,000"
Powerball,BIG APPLE MART #2,2195 N HWY 83 UNIT A,FRANKTOWN,80116,1,"$50,000"
Powerball,BIG APPLE MART #3,525 SINGING HILLS RD #2,PARKER,80138,1,"$40,000"
Powerball,B & L LIQUOR,227 W 3RD STREET,WRAY,80758,1,"$20,000"
Powerball,BORDERLINE #1,68947 US HWY 85,CARR,80612,1,"$40,000"
Powerball,BOW MART,5198 S LOWELL BLVD,LITTLETON,80123,1,"$10,000"
Powerball,BRANDING IRON LIQUOR,3204 W CR 54G,LAPORTE,80535,1,"$10,000"
Powerball,BRIGHTON LIQUOR,611 S 4TH AVE,BRIGHTON,80601,1,"$10,000"
Powerball,C & F FOOD STORE #2,3199 MESA AVE,GRAND JUNCTION,81504,1,"$30,000"
Powerball,C & F FOOD STORE #4,598 25TH RD,GRAND JUNCTION,81505,1,"$10,000"
Powerball,C & F FOOD STORE #8,208 W 8 ST,PALISADE,81526,2,"$11,000"
Powerball,CHRISTIES LIQUOR,228 STEGOSAURUS FREEWAY,DINOSAUR,81610,2,"$250,000"
Powerball,CIRCLE K #2709838,6560 S ACADEMY BLVD,COLORADO SPRINGS,80906,2,"$160,000"
Powerball,CIRCLE K #2709839,12051 N HURON ST,WESTMINSTER,80234,1,"$50,000"
Powerball,CIRCLE K #2709840,7055 COMMERCE CNTR DR,COLORADO SPRINGS,80919,2,"$210,000"
Powerball,CIRCLE K #2709841,1190 W BAPTIST RD,COLORADO SPRINGS,80921,3,"$90,000"
Powerball,CIRCLE K #2709842,4570 CHAMBERS RD,DENVER,80239,1,"$200,000"
Powerball,CIRCLE K #2709845,10553 E BRIARWOOD CIR,ENGLEWOOD,80112,1,"$10,000"
Powerball,CIRCLE K #2709851,1480 CANYON BLVD,BOULDER,80302,1,"$10,000"
Powerball,CIRCLE K #2709854,1600 S COLORADO BLVD,DENVER,80222,1,"$10,003"
Powerball,CIRCLE K #2709855,16070 E 6TH AVE,AURORA,80011,2,"$400,100"
Powerball,CIRCLE K #2709859,2265 E 120TH AVE,NORTHGLENN,80233,1,"$30,000"
Powerball,CIRCLE K #2709860,23 W WOLFENSBERGER,CASTLE ROCK,80109,1,"$10,000"
Powerball,CIRCLE K #2709861,2877 BASELINE RD,BOULDER,80303,2,"$60,003"
Powerball,CIRCLE K #2709864,298 S POTOMAC,AURORA,80012,1,"$10,000"
Powerball,CIRCLE K #2709868,3600 W 38TH AVE,DENVER,80211,1,"$30,000"
Powerball,CIRCLE K #2709884,9207 W JEWELL AVE,DENVER,80232,1,"$1,000,000"
Powerball,CIRCLE K #2709888,15065 W COLFAX AVE,LAKEWOOD,80401,2,"$70,000"
Powerball,CIRCLE K #2709900,1300 W COLFAX AVE,DENVER,80204,1,"$10,000"
Powerball,CIRCLE K #2709904,9356 S COLORADO BLVD,HIGHLANDS RANCH,80126,1,"$20,200"
Powerball,CIRCLE K #2709905,3988 RED CEDAR DR,HIGHLANDS RANCH,80126,3,"$1,060,000"
Powerball,CIRCLE K #2740622,6480 S HWY 85/87,FOUNTAIN,80817,1,"$10,000"
Powerball,CIRCLE K #2740633,1012 SUMMIT BLVD,FRISCO,80443,1,"$150,000"
Powerball,CIRCLE K #2740641,2720 35TH AVE,GREELEY,80634,2,"$60,000"
Powerball,CIRCLE K #2740645,2500 W EISENHOWER,LOVELAND,80537,1,"$10,000"
Powerball,CIRCLE K #2740666,94 W WOLFENSBERGER RD,CASTLE ROCK,80109,1,"$20,000"
Powerball,CIRCLE K #2740678,1801 MAIN ST,COLORADO SPRINGS,80911,4,"$2,080,000"
Powerball,CIRCLE K #2740687,2455 ARLINGTON DR,COLORADO SPRINGS,80910,1,"$1,000"
Powerball,CIRCLE K #2740691,2010 W EVANS,ENGLEWOOD,80110,1,"$50,000"
Powerball,CIRCLE K #2740695,4825 GALLY RD,COLORADO SPRINGS,80915,1,"$40,000"
Powerball,CIRCLE K #2741115,11195 HURON ST,NORTHGLENN,80234,1,"$50,000"
Powerball,CIRCLE K #2741116,3540 W 92ND AVENUE,WESTMINSTER,80031,1,"$10,000"
Powerball,CIRCLE K #2741118,1890 WADSWORTH BLVD,LAKEWOOD,80214,1,"$40,000"
Powerball,CIRCLE K #2741120,385 E BROMLEY LN,BRIGHTON,80601,1,"$10,000"
Powerball,CIRCLE K #2741126,13185 S PARKER ROAD,PARKER,80134,2,"$60,000"
Powerball,CIRCLE K #2741136,2121 S CHAMBERS RD,AURORA,80014,3,"$60,000"
Powerball,CIRCLE K #2741137,4805 BARNES RD,COLORADO SPRINGS,80917,2,"$11,000"
Powerball,CIRCLE K #2741146,9489 SHERIDAN BLVD,WESTMINSTER,80031,1,"$10,000"
Powerball,CIRCLE K #2741150,7605 CHURCH RANCH BLVD,WESTMINSTER,80021,1,"$10,000"
Powerball,CIRCLE K #2741152,4502 S TIMBERLINE RD,FORT COLLINS,80525,1,"$1,000"
Powerball,CIRCLE K #2741166,18565 SMOKY HILL RD,CENTENNIAL,80015,2,"$801,000"
Powerball,CIRCLE K #2741167,13456 W BOWLES AVE,LITTLETON,80127,1,"$10,000"
Powerball,CIRCLE K #2741168,5670 PALMER PARK BLVD,COLORADO SPRINGS,80915,1,"$10,004"
Powerball,CIRCLE K #2741173,11769 E HWY 24,PEYTON,80831,1,"$50,000"
Powerball,CIRCLE K #2741177,9989 W 80TH AVE,ARVADA,80005,1,"$10,000"
Powerball,CIRCLE K #2741179,14011 W QUINCY UNIT A,MORRISON,80465,1,"$200,000"
Powerball,CIRCLE K #2741180,9180 W 88TH AVE,WESTMINSTER,80005,1,"$10,000"
Powerball,CIRCLE K #2741185,5390 W 112TH AVE,WESTMINSTER,80020,2,"$1,001,000"
Powerball,CIRCLE K #2741716,1110 S BUCKLEY RD,AURORA,80017,1,"$10,000"
Powerball,CIRCLE K #2744045,6802 WADSWORTH BLVD,ARVADA,80003,1,"$150,000"
Powerball,CIRCLE K #2744051,3790 CHAMBERS RD,AURORA,80011,1,"$1,000"
Powerball,CIRCLE K #2744074,5601 N QUEBEC STREET,COMMERCE CITY,80022,1,"$50,020"
Powerball,CIRCLE K #2744085,5455 E COLFAX,DENVER,80220,1,"$20,000"
Powerball,CIRCLE K #2744094,7607 E ILIFF AVE,DENVER,80231,1,"$10,000"
Powerball,CIRCLE K #2744096,1801 MAIN,DURANGO,81301,1,"$20,000"
Powerball,CIRCLE K #2744112,2119 GRAND AVE,GLENWOOD SPRINGS,81601,1,"$1,000"
Powerball,CIRCLE K #2744113,17691 W COLFAX AVE,GOLDEN,80401,1,"$10,000"
Powerball,CIRCLE K #2744118,2020 E COUNTY LINE RD,HIGHLANDS RANCH,80126,1,"$200,000"
Powerball,CIRCLE K #2744120,1155 S WADSWORTH BLVD,LAKEWOOD,80232,1,"$10,000"
Powerball,CIRCLE K #2744121,722 KIPLING STREET,LAKEWOOD,80215,1,"$200,000"
Powerball,CIRCLE K #2744128,8500 W CRESTLINE AVE,LITTLETON,80123,1,"$10,000"
Powerball,CIRCLE K #2744137,19302 E PLAZA DR,PARKER,80138,1,"$200,004"
Powerball,CIRCLE K #2744138,601 W US HIGHWAY 50,PUEBLO,81008,1,"$1,000"
Powerball,CIRCLE K #2744147,7285 PECOS STREET,WESTMINSTER,80221,1,"$50,000"
Powerball,CITY MARKET #401,2770 HWY 50 SOUTH,GRAND JUNCTION,81503,3,"$1,080,000"
Powerball,CITY MARKET #403,128 S TOWNSEND,MONTROSE,81401,2,"$41,000"
Powerball,CITY MARKET #404,122 GUNNISON RIVER DR,DELTA,81416,1,"$10,000"
Powerball,CITY MARKET #408,508 E MAIN,CORTEZ,81321,1,"$10,000"
Powerball,CITY MARKET #413,135 S PLUM STREET,FRUITA,81521,2,"$160,000"
Powerball,CITY MARKET #414,1825 CENTRAL PARK DR,STEAMBOAT SPRINGS,80487,2,"$60,000"
Powerball,CITY MARKET #419,880 N MAIN,GUNNISON,81230,1,"$10,000"
Powerball,CITY MARKET #421,3130 MAIN AVE,DURANGO,81301,2,"$60,000"
Powerball,CITY MARKET #425,569 32 RD,GRAND JUNCTION,81504,2,"$51,070"
Powerball,CITY MARKET #429,215 6TH ST,HOTCHKISS,81419,1,"$10,000"
Powerball,CITY MARKET #433,250 E VALLEY RD,EL JEBEL,81623,4,"$1,120,000"
Powerball,CITY MARKET #440,16400 S TOWNSEND,MONTROSE,81401,3,"$61,000"
Powerball,CITY MARKET #442,2109 N FRONTAGE RD,VAIL,81657,1,"$50,000"
Powerball,CITY MARKET #444,2600 N 12TH ST,GRAND JUNCTION,81501,1,"$50,000"
Powerball,CITY MARKET #446,1001 THOMPSON RD,GRANBY,80446,1,"$10,000"
Powerball,C&K FOOD & GAS,5251 N PECOS ST,DENVER,80221,1,"$10,000"
Powerball,CLARKS MARKET,1435 GRAND AVE,NORWOOD,81423,1,"$50,000"
Powerball,C & L GAS,1958 N STATE HIGHWAY 83,FRANKTOWN,80116,1,"$10,000"
Powerball,COLORADO ONE SHELL,1233 S SHERIDAN BLVD,DENVER,80232,1,"$30,000"
Powerball,COLUMBINE SHELL,201 COLUMBINE CT,PARACHUTE,81635,1,"$20,000"
Powerball,CONVENIENCE PLUS,"13655 W JEWELL AVE
A101",LAKEWOOD,80228,1,"$1,000"
Powerball,C-STOP,120 8TH AVE,GREELEY,80631,2,"$30,000"
Powerball,DENO'S COUNTRY STORE,4000 E 100TH AVE,THORNTON,80229,1,"$1,000,000"
Powerball,DESPERADO,40486 D LANE,CRAWFORD,81415,1,"$50,000"
Powerball,DISCOUNT GAS & CONVENIENCE,5600 W ALAMEDA AVE,LAKEWOOD,80226,3,"$21,000"
Powerball,DOO-COM STATION,7710 BRIGHTON RD,COMMERCE CITY,80022,1,"$40,000"
Powerball,DOVECREEK SUPERETTE,455 HWY 491,DOVE CREEK,81324,2,"$20,000"
Powerball,DU CONOCO FOOD STORE,2001 S UNIVERSITY,DENVER,80210,1,"$10,000"
Powerball,EAST VALLEY LIQUORS,418 32 RD UNIT A,CLIFTON,81520,1,"$2,000,000"
Powerball,ECONO FOOD & GAS,200 W 84TH AVENUE,THORNTON,80260,1,"$1,000"
Powerball,EDWARDS STATION OPERATING LLC,0436 EDWARDS ACCESS RD,EDWARDS,81632,1,"$1,000,000"
Powerball,EVERYDAY #5703 ES,1823 N CIRCLE DR,COLORADO SPRINGS,80909,1,"$150,000"
Powerball,EVERYDAY #5713 ES,1090 S UNION BLVD,LAKEWOOD,80228,1,"$1,000"
Powerball,EVERYDAY #5715 ES,300 E PAGOSA STREET,PAGOSA SPRINGS,81147,1,"$100,000"
Powerball,EXXON #183,5195 W 120TH AVE,BROOMFIELD,80020,1,"$10,000"
Powerball,EXXON #246,2651 E 120TH AVE,THORNTON,80233,1,"$100,000"
Powerball,EXXON EXPRESS LUBE,600 4TH AVE,DURANGO,81301,1,"$20,000"
Powerball,EXXON STATION UNION INC.,701 N UNION BLVD,COLORADO SPRINGS,80909,1,"$1,000,000"
Powerball,FALCON FOOD STORE,11150 E HWY 24,PEYTON,80831,1,"$10,000"
Powerball,FAST-N-FRIENDLY FOOD MART,5595 E FLORIDA AVE,DENVER,80222,2,"$20,000"
Powerball,FLYING J #500211-62100,2495 WILLIAMS AVE,LIMON,80828,1,"$10,000"
Powerball,FOUR STAR EXXON,1220 CARBON JUNCTION RD,DURANGO,81301,1,"$10,000"
Powerball,FOX CREEK LIQUORS,"1610 PACE ST
UNIT 700",LONGMONT,80504,1,"$50,000"
Powerball,FRUITVALE SHELL,401 30 ROAD,GRAND JUNCTION,81504,2,"$300,000"
Powerball,GAS MART,1550 W 88TH AVE UNIT A,THORNTON,80260,1,"$10,000"
Powerball,GATEWAY CONVENIENCE STORE,2449 35TH AVE,GREELEY,80634,1,"$1,000"
Powerball,GLENWOOD CARWASH,3006 S GLEN AVE,GLENWOOD SPRINGS,81601,1,"$10,000"
Powerball,GOLD NUGGET LIQUORS,4050 TEJON ST,DENVER,80211,1,"$50,000"
Powerball,GOOD 2 GO STORE 710,717 S BROADWAY,CORTEZ,81321,1,"$50,000"
Powerball,GRAPEVINE WINE & LIQUORS,900 S MONACO PKWY,DENVER,80224,1,"$30,000"
Powerball,HAMPDEN LIQUOR,15433 E HAMPDEN AVE STE E,AURORA,80013,1,"$10,000"
Powerball,HERITAGE ENERGY,750 HERITAGE RD,GOLDEN,80401,1,"$100,000"
Powerball,HERSHEYS MARKET,4501 N BROADWAY STREET,BOULDER,80304,1,"$150,000"
Powerball,HORIZON DRIVE SHELL,745 HORIZON DR,GRAND JUNCTION,81506,1,"$1,000,000"
Powerball,IN N OUT CONOCO,2801 E MAIN ST,CANON CITY,81212,1,"$40,000"
Powerball,JJ MARKET,20961 E SMOKY HILL RD,CENTENNIAL,80015,2,"$100,000"
Powerball,JJ'S WINE & SPIRITS,3857 E 120TH AVE,THORNTON,80233,1,"$100,000"
Powerball,J R 'S #815,1025 PARK AVE,MONTE VISTA,81144,1,"$30,000"
Powerball,JR'S COUNTRY STORE #102,18055 ROAD G,ORDWAY,81063,1,"$1,000"
Powerball,JR'S COUNTRY STORE #201,3920 HOLLYBROOK,PUEBLO,81005,1,"$150,000"
Powerball,JR'S COUNTRY STORE #204,2402 S PRAIRIE,PUEBLO,81005,1,"$2,000,000"
Powerball,JR'S TRAVEL SHOPPE,639 W MAIN ST,TRINIDAD,81082,2,"$60,000"
Powerball,JULESBURG FAMILY MARKET,222 CEDAR ST,JULESBURG,80737,1,"$400,000"
Powerball,K & G CONOCO #525,3690 E 104TH AVE,THORNTON,80233,1,"$40,000"
Powerball,K & G CONOCO #545,18181 E HAMPDEN AVE,AURORA,80013,1,"$40,000"
Powerball,K & G CONOCO #548,3996 E EVANS,DENVER,80210,1,"$10,000"
Powerball,KING SOOPERS #06,1750 W UINTAH,COLORADO SPRINGS,80904,1,"$150,000"
Powerball,KING SOOPERS #07,5125 W FLORIDA AVE,DENVER,80219,1,"$40,000"
Powerball,KING SOOPERS #08,2205 W WILDCAT RESERVE PKWY,LITTLETON,80129,2,"$20,000"
Powerball,KING SOOPERS #09,1015 S TAFT HILL,FORT COLLINS,80521,1,"$10,000"
Powerball,KING SOOPERS #10,15250 E MISSISSIPPI AVE,AURORA,80012,2,"$11,000"
Powerball,KING SOOPERS #100,4910 S YOSEMITE STREET,GREENWOOD VILLAGE,80111,3,"$1,210,000"
Powerball,KING SOOPERS #101,13700 COLORADO BLVD,THORNTON,80602,4,"$91,039"
Powerball,KING SOOPERS #103,2910 S ACADEMY BLVD,COLORADO SPRINGS,80916,2,"$140,000"
Powerball,KING SOOPERS #105,6110 FIRESTONE BLVD,LONGMONT,80504,2,"$41,000"
Powerball,KING SOOPERS #109,5050 S FEDERAL BLVD,ENGLEWOOD,80110,1,"$10,000"
Powerball,KING SOOPERS #110,8673 S QUEBEC ST,LITTLETON,80130,3,"$2,020,000"
Powerball,KING SOOPERS #114,15051 E 104TH AVE,COMMERCE CITY,80022,1,"$50,000"
Powerball,KING SOOPERS #115,1950 CHESTNUT PL,DENVER,80202,2,"$100,000"
Powerball,KING SOOPERS #118,2355 W 136TH AVE,BROOMFIELD,80023,1,"$50,000"
Powerball,KING SOOPERS #121,8055 SHERIDAN BLVD,ARVADA,80003,1,"$10,000"
Powerball,KING SOOPERS #124,4600 LEETSDALE DRIVE,GLENDALE,80246,1,"$20,000"
Powerball,KING SOOPERS #126,17761 COTTONWOOD DR,PARKER,80134,1,"$1,000"
Powerball,KING SOOPERS #127,7984 W ALAMEDA AVE,LAKEWOOD,80226,1,"$20,000"
Powerball,KING SOOPERS #128,18211 E HAMPDEN AVE,AURORA,80013,3,"$220,000"
Powerball,KING SOOPERS #129,1891 STATE HWY 7,ERIE,80516,1,"$50,000"
Powerball,KING SOOPERS #130 FUEL CENTER,3620 AUSTIN BLUFFS PKWY,COLORADO SPRINGS,80918,1,"$1,000,000"
Powerball,KING SOOPERS #135,480 N HWY 287,LAFAYETTE,80026,1,"$50,000"
Powerball,KING SOOPERS #14,655 PEORIA ST,AURORA,80011,1,"$40,000"
Powerball,KING SOOPERS #19,3100 S SHERIDAN,DENVER,80227,2,"$60,000"
Powerball,KING SOOPERS #20,3400 YOUNGFIELD ST,WHEAT RIDGE,80033,2,"$140,000"
Powerball,KING SOOPERS #22,9731 W 58TH AVE,ARVADA,80002,3,"$110,000"
Powerball,KING SOOPERS #27,9551 S UNIVERSITY BLVD,HIGHLANDS RANCH,80126,5,"$1,120,000"
Powerball,KING SOOPERS #28,6550 LOOKOUT RD,BOULDER,80301,1,"$100,000"
